date,Estimation,Temperature,Water Disharge,Precipitation,WaterTemperature
1954,13.0,21,4762,850,13.6
1955,12.5,23,3713,852,13.7
1956,14.0,20,3351,864,15.0
1957,17.0,24,2074,852,15.4
1958,18.0,25,5860,843,17.4
1959,15.0,21,3842,863,14.5
1960,13.0,20,3266,821,14.9
1961,10.0,21,2267,801,16.7
1962,5.0,17,6187,867,14.9
1963,6.0,16,4218,851,16.0
1964,7.0,19,3705,873,13.6
1965,8.0,20,2611,882,15.5
1966,8.0,17,5903,872,14.7
1967,9.0,15,4189,862,16.0
1968,10.0,17,3569,874,14.7
1969,10.0,27,2205,872,15.2
1970,8.0,16,5142,903,15.8
1971,7.0,18,3911,943,15.2
1972,6.0,17,3316,943,17.5
1973,7.0,18,2146,932,17.3
1974,8.0,19,5903,943,13.3
1975,7.0,20,4189,923,15.2
1976,6.0,17,3569,954,17.5
1977,8.0,18,2205,932,17.3
1978,9.0,19,5142,932,13.3
1979,11.0,19,391,943,17.5
1980,13.0,17,3316,923,17.3
1981,13.0,16,2146,954,15.8
1982,14.0,18,5903,972,17.5
1983,15.0,19,4189,973,17.3
1984,16.0,21,3669,983,13.3
1985,16.0,20,2205,973,15.8
1986,16.0,18,5142,962,17.5
1987,17.0,19,3911,832,17.3
1988,18.0,20,3316,972,13.3
1989,19.0,19,2146,974,17.5
1990,21.0,20,5731,932,17.3
1991,23.0,21,4199,943,16.3
1992,24.0,22,3496,932,18.2
1993,24.0,23,1902,954,18.1
1994,23.0,24,5121,987,14.7
1995,16.0,25,3573,943,16.3
1996,16.0,19,2840,954,18.2
1997,15.0,19,2095,943,18.1
1998,15.0,27,5731,923,14.7
1999,13.0,21,4199,943,16.6
2000,13.0,24,3496,932,18.2
2001,15.0,23,1902,1043,18.3
2002,15.0,25,5121,943,13.8
2003,14.0,27,3573,967,16.6
2004,14.0,21,2840,943,18.2
2005,13.0,24,2095,945,18.3
2006,11.0,23,5121,1023,13.8
