Estimation,RowNumber,ID,Place,Temperature,Water Discharge,Precipitation,WaterTemperature
6,1959,6,Fraser River,21,3842,863,14.5
2,1961,8,Fraser River,21,2267,801,16.7
5.5,1963,10,Fraser River,16,4218,851,16
2,1965,12,Fraser River,20,2611,882,15.5
13,1967,14,Fraser River,15,4189,862,16
3.5,1969,16,Fraser River,27,2205,872,15.2
11,1971,18,Fraser River,18,3911,943,15.2
6.5,1973,20,Fraser River,18,2146,932,17.3
14,1975,22,Fraser River,20,4189,923,15.2
8.5,1977,24,Fraser River,18,2205,932,17.3
16,1979,26,Fraser River,19,391,943,17.5
19,1981,28,Fraser River,16,2146,954,15.8
15,1983,30,Fraser River,19,4189,973,17.3
16.5,1985,32,Fraser River,20,2205,973,15.8
17,1987,34,Fraser River,19,3911,832,17.3
15.5,1989,36,Fraser River,19,2146,974,17.5
22,1991,38,Fraser River,21,4199,943,16.3
15,1993,40,Fraser River,23,1902,954,18.1
13,1995,42,Fraser River,25,3573,943,16.3
